"","AUC","Sensitivity","specificity","PPV","NPV","F1_Score_pos","F1_Score_neg","Accuracy","KAPPA","Model"
"429",0.874506706030547,0.791855203619909,0.800724637681159,0.614035087719298,0.905737704918033,0.691699604743083,0.85,0.798188874514877,0.545239244554396,"RF25"
"430",0.876814887524362,0.769547325102881,0.815094339622642,0.656140350877193,0.885245901639344,0.708333333333333,0.848722986247544,0.800776196636481,0.558505233019575,"RF25"
"431",0.89834732389345,0.818181818181818,0.792043399638336,0.610169491525424,0.916317991631799,0.699029126213592,0.849660523763337,0.799482535575679,0.553420675003261,"RF25"
"432",0.874871908646153,0.775784753363229,0.774545454545455,0.582491582491583,0.894957983193277,0.665384615384615,0.830409356725146,0.77490297542044,0.500916518860993,"RF25"
"433",0.905743969061953,0.838862559241706,0.806049822064057,0.618881118881119,0.930184804928131,0.712273641851107,0.863679694947569,0.815006468305304,0.580479640516302,"RF25"
"434",0.882099526095324,0.789954337899543,0.817689530685921,0.631386861313869,0.907815631262525,0.701825557809331,0.86039886039886,0.809831824062096,0.564760587872543,"RF25"
"435",0.896869201458837,0.821782178217822,0.824868651488616,0.62406015037594,0.928994082840237,0.709401709401709,0.873840445269016,0.824062095730918,0.586598505701927,"RF25"
"436",0.878838972790834,0.831168831168831,0.797047970479705,0.635761589403974,0.917197452229299,0.720450281425891,0.852912142152024,0.807244501940492,0.577308842688588,"RF25"
"437",0.877215105113156,0.772093023255814,0.817204301075269,0.619402985074627,0.902970297029703,0.687370600414079,0.857949200376294,0.804657179818887,0.547793847024047,"RF25"
"438",0.865577930528932,0.758139534883721,0.783154121863799,0.573943661971831,0.893660531697341,0.653306613226453,0.83476599808978,0.776196636481242,0.492695565747495,"RF25"
"439",0.879114441034218,0.757142857142857,0.829484902309059,0.623529411764706,0.901544401544402,0.683870967741935,0.864014801110083,0.809831824062096,0.549699815728467,"RF25"
"440",0.895614737014364,0.809302325581395,0.810035842293907,0.621428571428571,0.91683569979716,0.703030303030303,0.860133206470029,0.809831824062096,0.56668255572292,"RF25"
"441",0.882046417108601,0.804444444444444,0.79014598540146,0.611486486486486,0.907756813417191,0.694817658349328,0.844878048780488,0.794307891332471,0.5440001780858,"RF25"
"442",0.905893174947924,0.775862068965517,0.831792975970425,0.664206642066421,0.896414342629482,0.715705765407555,0.862895493767977,0.815006468305304,0.579819443124584,"RF25"
"443",0.89837889806307,0.803921568627451,0.817223198594025,0.611940298507463,0.920792079207921,0.694915254237288,0.865921787709497,0.813712807244502,0.564357055637309,"RF25"
"444",0.8585908215371,0.741626794258373,0.803191489361702,0.582706766917293,0.893491124260355,0.652631578947368,0.84593837535014,0.786545924967659,0.501752042095888,"RF25"
"445",0.847041927855682,0.754807692307692,0.75929203539823,0.535836177474403,0.89375,0.626746506986028,0.821052631578947,0.758085381630013,0.45531586186107,"RF25"
"446",0.920671736809012,0.830275229357798,0.827027027027027,0.653429602888087,0.925403225806452,0.731313131313131,0.873453853472883,0.827943078913325,0.607393942634125,"RF25"
"447",0.868529937140718,0.746411483253589,0.75886524822695,0.534246575342466,0.88981288981289,0.622754491017964,0.819138755980861,0.755498059508409,0.44914164627456,"RF25"
"448",0.888950369543586,0.78695652173913,0.801104972375691,0.626297577854671,0.898760330578512,0.697495183044316,0.847127555988315,0.796895213454075,0.547577419318762,"RF25"
"449",0.900262172350979,0.814159292035398,0.811700182815356,0.641114982578397,0.91358024691358,0.717348927875244,0.859632139399806,0.8124191461837,0.579930666166963,"RF25"
"450",0.893539412544646,0.805194805194805,0.835793357933579,0.676363636363636,0.909638554216867,0.735177865612648,0.871153846153846,0.826649417852523,0.607774681166884,"RF25"
